MostRecentKeypress,AccelerometerXvalue,AccelerometerYvalue,AccelerometerZvalue,GyroscopeXvalue,GyroscopeYvalue,GyroscopeZvalue [NEWLINE]
none,-0.02454045,-0.039999079,-0.251234055,0.000532632,0.002130529,-0.000532632
none,-0.02454045,-0.039999079,-0.251234055,0.001065264,0.001065264,0
none,-0.064504936,0.07031735,-0.253712654,0,0,-0.000532632
none,-0.064504936,0.07031735,-0.253712654,-0.000532632,-0.000532632,-0.001597897
none,-0.064504936,0.07031735,-0.253712654,-0.001065264,-0.001065264,-0.001065264
none,-0.064504936,0.07031735,-0.253712654,0,0,0.001597897
none,-0.064504936,0.07031735,-0.253712654,0,-0.001065264,0.001597897
none,-0.064504936,0.07031735,-0.253712654,0,-0.000532632,0
none,-0.064504936,0.07031735,-0.253712654,0,-0.000532632,-0.001065264
none,-0.064504936,0.07031735,-0.253712654,-0.000532632,0,-0.001065264
none,-0.085717924,-0.161264017,0.761358261,-0.102798022,0.123570681,-0.000532632
none,-0.085717924,-0.161264017,0.761358261,-0.044741109,0.06018744,0
none,-0.085717924,-0.161264017,0.761358261,0.013848438,0.071372718,-0.000532632
none,-0.085717924,-0.161264017,0.761358261,0,-0.001597897,-0.000532632
none,-0.085717924,-0.161264017,0.761358261,-0.007456851,-0.001597897,0
1,-0.085717924,-0.161264017,0.761358261,-0.001597897,0.003195793,0.001065264
1,-0.085717924,-0.161264017,0.761358261,0.002130529,0.002130529,0.001065264
1,-0.085717924,-0.161264017,0.761358261,0,0.001065264,0
1,0.071266942,-0.024732742,-0.24888134,-0.001597897,0.001065264,0
1,0.071266942,-0.024732742,-0.24888134,-0.001065264,-0.000532632,0.000532632
1,0.071266942,-0.024732742,-0.24888134,-0.000532632,-0.000532632,0
1,0.071266942,-0.024732742,-0.24888134,-0.001065264,0,0
1,0.071266942,-0.024732742,-0.24888134,0,0,-0.001065264
1,0.071266942,-0.024732742,-0.24888134,0,0.000532632,-0.000532632
1,0.071266942,-0.024732742,-0.24888134,0,0.000532632,0
1,0.071266942,-0.024732742,-0.24888134,-0.000532632,0.001065264,0.000532632
1,0.03007599,0.050695609,-0.239356041,0,0.000532632,-0.000532632
1,0.03007599,0.050695609,-0.239356041,0,-0.000532632,0
1,0.03007599,0.050695609,-0.239356041,-0.000532632,-0.000532632,0.000532632
1,0.03007599,0.050695609,-0.239356041,0,-0.000532632,0.000532632
1,0.03007599,0.050695609,-0.239356041,-0.001065264,-0.001065264,0
1,0.03007599,0.050695609,-0.239356041,0.085753791,-0.103863284,-0.001597897
1,0.03007599,0.050695609,-0.239356041,0.038882151,-0.072437987,-0.001065264
1,0.03007599,0.050695609,-0.239356041,0.001065264,-0.011185277,0.000532632
